"","SAMPLE","TISSUE","INDIVIDUAL"
"1","adrenal_gland_ENC001","adrenal gland","1"
"2","adrenal_gland_ENC002","adrenal gland","2"
"3","adrenal_gland_ENC003","adrenal gland","3"
"4","adrenal_gland_ENC004","adrenal gland","4"
"5","ascending_aorta_ENC003","ascending aorta","3"
"6","ascending_aorta_ENC004","ascending aorta","4"
"7","body_of_pancreas_ENC001","body of pancreas","1"
"8","body_of_pancreas_ENC002","body of pancreas","2"
"9","body_of_pancreas_ENC003","body of pancreas","3"
"10","body_of_pancreas_ENC004","body of pancreas","4"
"11","breast_epithelium_ENC001","breast epithelium","1"
"12","breast_epithelium_ENC003","breast epithelium","3"
"13","breast_epithelium_ENC004","breast epithelium","4"
"14","coronary_artery_ENC003","coronary artery","3"
"15","coronary_artery_ENC004","coronary artery","4"
"16","esophagus_muscularis_mucosa_ENC001","esophagus muscularis mucosa","1"
"17","esophagus_muscularis_mucosa_ENC002","esophagus muscularis mucosa","2"
"18","esophagus_muscularis_mucosa_ENC003","esophagus muscularis mucosa","3"
"19","esophagus_muscularis_mucosa_ENC004","esophagus muscularis mucosa","4"
"20","esophagus_squamous_epithelium_ENC001","esophagus squamous epithelium","1"
"21","esophagus_squamous_epithelium_ENC002","esophagus squamous epithelium","2"
"22","esophagus_squamous_epithelium_ENC003","esophagus squamous epithelium","3"
"23","esophagus_squamous_epithelium_ENC004","esophagus squamous epithelium","4"
"24","gastrocnemius_medialis_ENC001","gastrocnemius medialis","1"
"25","gastrocnemius_medialis_ENC002","gastrocnemius medialis","2"
"26","gastrocnemius_medialis_ENC003","gastrocnemius medialis","3"
"27","gastrocnemius_medialis_ENC004","gastrocnemius medialis","4"
"28","gastroesophageal_sphincter_ENC001","gastroesophageal sphincter","1"
"29","gastroesophageal_sphincter_ENC002","gastroesophageal sphincter","2"
"30","gastroesophageal_sphincter_ENC003","gastroesophageal sphincter","3"
"31","gastroesophageal_sphincter_ENC004","gastroesophageal sphincter","4"
"32","heart_left_ventricle_ENC003","heart left ventricle","3"
"33","heart_left_ventricle_ENC004","heart left ventricle","4"
"34","lower_leg_skin_ENC001","lower leg skin","1"
"35","ovary_ENC003","ovary","3"
"36","ovary_ENC004","ovary","4"
"37","Peyer's_patch_ENC001","Peyer's patch","1"
"38","Peyer's_patch_ENC002","Peyer's patch","2"
"39","Peyer's_patch_ENC003","Peyer's patch","3"
"40","Peyer's_patch_ENC004","Peyer's patch","4"
"41","prostate_gland_ENC001","prostate gland","1"
"42","prostate_gland_ENC002","prostate gland","2"
"43","right_atrium_auricular_region_ENC003","right atrium auricular region","3"
"44","right_atrium_auricular_region_ENC004","right atrium auricular region","4"
"45","right_lobe_of_liver_ENC003","right lobe of liver","3"
"46","sigmoid_colon_ENC001","sigmoid colon","1"
"47","sigmoid_colon_ENC002","sigmoid colon","2"
"48","sigmoid_colon_ENC003","sigmoid colon","3"
"49","sigmoid_colon_ENC004","sigmoid colon","4"
"50","spleen_ENC001","spleen","1"
"51","spleen_ENC002","spleen","2"
"52","spleen_ENC003","spleen","3"
"53","spleen_ENC004","spleen","4"
"54","stomach_ENC001","stomach","1"
"55","stomach_ENC002","stomach","2"
"56","stomach_ENC003","stomach","3"
"57","stomach_ENC004","stomach","4"
"58","suprapubic_skin_ENC001","suprapubic skin","1"
"59","testis_ENC001","testis","1"
"60","testis_ENC002","testis","2"
"61","thoracic_aorta_ENC001","thoracic aorta","1"
"62","thoracic_aorta_ENC002","thoracic aorta","2"
"63","thyroid_gland_ENC001","thyroid gland","1"
"64","thyroid_gland_ENC002","thyroid gland","2"
"65","thyroid_gland_ENC003","thyroid gland","3"
"66","thyroid_gland_ENC004","thyroid gland","4"
"67","tibial_artery_ENC001","tibial artery","1"
"68","tibial_artery_ENC002","tibial artery","2"
"69","tibial_artery_ENC003","tibial artery","3"
"70","tibial_artery_ENC004","tibial artery","4"
"71","tibial_nerve_ENC001","tibial nerve","1"
"72","tibial_nerve_ENC002","tibial nerve","2"
"73","tibial_nerve_ENC003","tibial nerve","3"
"74","tibial_nerve_ENC004","tibial nerve","4"
"75","transverse_colon_ENC001","transverse colon","1"
"76","transverse_colon_ENC002","transverse colon","2"
"77","transverse_colon_ENC003","transverse colon","3"
"78","transverse_colon_ENC004","transverse colon","4"
"79","upper_lobe_of_left_lung_ENC001","upper lobe of left lung","1"
"80","upper_lobe_of_left_lung_ENC002","upper lobe of left lung","2"
"81","upper_lobe_of_left_lung_ENC003","upper lobe of left lung","3"
"82","upper_lobe_of_left_lung_ENC004","upper lobe of left lung","4"
"83","uterus_ENC003","uterus","3"
"84","uterus_ENC004","uterus","4"
"85","vagina_ENC003","vagina","3"
"86","vagina_ENC004","vagina","4"
